 #all    # #bind 
A0101 1157   103 
A0201 3089  1181 
A0202 1447   649 
A0203 1443   639 
A0206 1437   513 
A0301 2094   517 
A1101 1985   693 
A2301  104    49 
A2402  197    99 
A2403  254    29 
A2601  672    53 
A2902  160    68 
A3001  669    77 
A3002   92    29 
A3101 1869   427 
A3301 1140   184 
A6801 1141   498 
A6802 1434   397 
A6901  833    86 
B0702 1262   208 
B0801  708    20 
B1501  978   179 
B1801  118    47 
B2705  969    56 
B3501  736   211 
B4001 1078    40 
B4002  118    39 
B4402  119    44 
B4403  119    34 
B4501  114    49 
B5101  244    85 
B5301  254   106 
B5401  255    81 
B5701   59    11 
B5801  988   104 
